,culture,line,rate,yield
90,C253,UA,0.00674,0.024
91,C254,UA,0.00596,0.02675
92,C255,UA,0.00675,0.02401
93,C22,UA,0.024214387,0.499842709
94,C23,UA,0.024585823,0.501801758
95,C24,UA,0.024172419,0.501851852
96,C146,UA,0.084255537,0.397483302
97,C147,UA,0.08796923,0.412655649
98,C25,UA,0.034929791,0.518806024
99,C26,UA,0.034141776,0.529260721
100,C27,UA,0.035052706,0.529829789
101,C28,UA,0.036731966,0.512950903
102,C256,UA,0.00394,0.01847
103,C257,UA,0.00398,0.02041
104,C25,UA,0.034929791,0.518806024
105,C26,UA,0.034141776,0.529260721
106,C27,UA,0.035052706,0.529829789
107,C28,UA,0.036731966,0.512950903
108,C152,UA,0.051379204,0.217822883
109,C153,UA,0.05219314,0.24644593
110,C29,UA,0.037468176,0.498967666
111,C30,UA,0.034786535,0.509110621
112,C31,UA,0.028858317,0.493810364
113,C258,UA,0.00549,0.02471
114,C259,UA,0.00572,0.02501
115,C260,UA,0.00636,0.02595
116,C261,UA,0.00631,0.02553
117,C262,UA,0.00561,0.02401
118,C263,UA,0.00615,0.0252
119,C29,UA,0.037468176,0.498967666
120,C30,UA,0.034786535,0.509110621
121,C31,UA,0.028858317,0.493810364
122,C157,UA,0.103444484,0.456970225
123,C158,UA,0.095537195,0.423675747
124,C32,UA,0.033124911,0.497736085
125,C33,UA,0.033661231,0.500555207
126,C34,UA,0.032673716,0.503633962
127,C35,UA,0.031706711,0.508112454
128,C36,UA,0.031140319,0.50198632
129,C264,UA,0.00697,0.03945
130,C265,UA,0.00804,0.04007
131,C266,UA,0.0073,0.04158
132,C267,UA,0.00735,0.04469
133,C268,UA,0.00705,0.04274
134,C269,UA,0.00713,0.04231
135,C270,UA,0.00706,0.04256
136,C271,UA,0.00704,0.04189
137,C272,UA,0.00735,0.04296
138,C32,UA,0.033124911,0.497736085
139,C33,UA,0.033661231,0.500555207
140,C34,UA,0.032673716,0.503633962
141,C35,UA,0.031706711,0.508112454
142,C36,UA,0.031140319,0.50198632
143,C164,UA,0.040137554,0.202938574
144,C165,UA,0.04867809,0.200986199
145,C166,UA,0.043960751,0.206745292
146,C37,HA,0.028237416,0.537225432
147,C38,HA,0.025518071,0.530837882
148,C39,HA,0.02805902,0.521794463
149,C273,HA,0.00501,0.02204
150,C274,HA,0.00584,0.02449
151,C275,HA,0.0052,0.02426
152,C276,HA,0.00542,0.02068
153,C277,HA,0.00497,0.02188
154,C278,HA,0.00599,0.02428
155,C279,HA,0.00312,0.02179
156,C280,HA,0.00501,0.02204
157,C37,HA,0.028237416,0.537225432
158,C38,HA,0.025518071,0.530837882
159,C39,HA,0.02805902,0.521794463
160,C172,HA,0.101713563,0.377484874
161,C173,HA,0.117152141,0.45835021
162,C40,HA,0.025474822,0.489053573
163,C41,HA,0.026915663,0.491860923
164,C42,HA,0.026443016,0.493821173
